
03-24 15:05:11.921  5390  5441 I Unity   :  
03-24 15:05:11.921  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.921  5390  5441 I Unity   : 
03-24 15:05:11.927  5390  5441 W Unity   : [AppSettings] logLevel = Warning
03-24 15:05:11.927  5390  5441 W Unity   :  Carrier = LG
03-24 15:05:11.927  5390  5441 W Unity   :  DefaultThemeName = LG
03-24 15:05:11.927  5390  5441 W Unity   :  UseCommonDesign = False
03-24 15:05:11.927  5390  5441 W Unity   :  SupportGravity = False
03-24 15:05:11.927  5390  5441 W Unity   :  SupportBundle = True
03-24 15:05:11.927  5390  5441 W Unity   :  SupportMultiLayersIcon = True
03-24 15:05:11.927  5390  5441 W Unity   :  DefaultAppResolutionX = 1200
03-24 15:05:11.927  5390  5441 W Unity   :  DefaultAppResolutionY = 1920
03-24 15:05:11.927  5390  5441 W Unity   :  DefaultScreenDistance = 2.10
03-24 15:05:11.927  5390  5441 W Unity   :  DefaultScreenScale = 1.00
03-24 15:05:11.927  5390  5441 W Unity   : NREAL.AppSettings:Init()
03-24 15:05:11.927  5390  5441 W Unity   : NREAL.SettingsManager:Init()
03-24 15:05:11.927  5390  5441 W Unity   : NREAL.HOME.LoadingScene:Awake()
03-24 15:05:11.927  5390  5441 W Unity   :  
03-24 15:05:11.927  5390  5441 W Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.927  5390  5441 W Unity   : 
03-24 15:05:11.927  5390  5441 I Unity   : [SettingsManager] Init finish
03-24 15:05:11.927  5390  5441 I Unity   : NREAL.SettingsManager:Init()
03-24 15:05:11.927  5390  5441 I Unity   : NREAL.HOME.LoadingScene:Awake()
03-24 15:05:11.927  5390  5441 I Unity   :  
03-24 15:05:11.927  5390  5441 I Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.927  5390  5441 I Unity   : 
03-24 15:05:11.991  5390  5441 W Unity   : [CanvasAdaption] OnDisplayResolutionChanged: actualResolution = (1080.0000, 2308.0000), PhoneScreen.Resolution = (1080.0000, 2400.0000), screenResolution = (1080.0, 2308.0)
03-24 15:05:11.991  5390  5441 W Unity   : CanvasAdaption:OnDisplayResolutionChanged(Vector2)
03-24 15:05:11.991  5390  5441 W Unity   : CanvasAdaption:Awake()
03-24 15:05:11.991  5390  5441 W Unity   : NREAL.HOME.<InitNRSDK>d__6:MoveNext()
03-24 15:05:11.991  5390  5441 W Unity   : UnityEngine.SetupCoroutine:InvokeMoveNext(IEnumerator, IntPtr)
03-24 15:05:11.991  5390  5441 W Unity   :  
03-24 15:05:11.991  5390  5441 W Unity   : (Filename: ./Runtime/Export/Debug.bindings.h Line: 45)
03-24 15:05:11.991  5390  5441 W Unity   : 
03-24 15:05:11.991  5390  5441 W Unity   : [CanvasAdaption] OnDisplayResolutionChanged: enter fold state
